year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2013.0	4.0	28.0	0	74.5761081439	6.30140369689	5.00622348938	0	0	4.07983000426	10.3812337011	
2013.0	4.0	29.0	0	74.3628213061	5.04112295751	7.24784094526	0	0	3.87583850404	8.91696146155	
2013.0	4.0	30.0	0	74.1469933108	4.03289836601	6.43287629530	0	0	3.68204657884	7.71494494485	
2013.0	5.0	1.0	0	73.9287273782	3.22631869281	5.86110727876	0	0	3.49794424990	6.72426294270	
2013.0	5.0	2.0	0	73.7081268723	2.58105495424	5.98055974635	0	0	3.32304703740	5.90410199165	
2013.0	5.0	3.0	0	73.4852952165	2.06484396340	6.65744556867	0	0	3.15689468553	5.22173864893	
2013.0	5.0	4.0	0	73.2603358092	1.65187517072	7.22089009588	0	0	2.99904995126	4.65092512197	
2013.0	5.0	5.0	0	73.0333519423	1.32150013657	7.19863036902	0	0	2.84909745369	4.17059759027	
2013.0	5.0	6.0	0	72.8044467203	1.05720010926	6.38394369272	0	0	2.70664258101	3.76384269027	
2013.0	5.0	7.0	0	72.5737229819	0.845760087407	6.32260276384	0	0	2.57131045196	3.41707053937	
2013.0	5.0	8.0	0	72.3412832227	0.676608069926	5.98737097063	0	0	2.44274492936	3.11935299929	
2013.0	5.0	9.0	0	72.1072295201	0.567206479762	4.37312896433	2.40975038099	0	2.32060768289	2.88781416265	
2013.0	5.0	10.0	0	71.8716634599	0.662786371501	3.94570385405	2.63283367928	0.0735212079203	2.22102610710	2.88381247860	
2013.0	5.0	11.0	0	71.6346860656	0.731350320013	6.39969946818	5.10682262577	0	2.10997480175	2.84132512176	
2013.0	5.0	12.0	0	71.3963977287	0.585080256011	7.34396946498	0	0	2.00447606166	2.58955631767	
2013.0	5.0	13.0	0	71.1568981418	0.720396492758	8.14906852512	6.24498284437	0	1.90425225858	2.62464875134	
2013.0	5.0	14.0	0	70.9162862337	0.578083171117	8.33451974340	4.35535732197	0	1.80903964565	2.38712281677	
2013.0	5.0	15.0	0	70.6746601070	0.462466536894	7.70639187442	1.33157452855	0	1.71858766337	2.18105420026	
2013.0	5.0	16.0	0	70.4321169772	0.369973229515	8.61476989325	0	0	1.63265828020	2.00263150971	
2013.0	5.0	17.0	0	70.1887531149	0.311810792936	5.89244836164	2.46929033299	0	1.55102536619	1.86283615912	
2013.0	5.0	18.0	0	69.9446637899	0.249448634348	5.46339366519	0	0	1.47347409788	1.72292273223	
2013.0	5.0	19.0	0	69.6999432180	0.200194063588	6.86099240133	3.19515717650	0	1.39980039298	1.59999445657	
2013.0	5.0	20.0	0	69.4546845096	2.05922727418	5.47418893993	4.87476224465	1.77995475021	1.77859629622	3.83782357040	
2013.0	5.0	21.0	0	69.2089796211	4.91873013411	5.03389896451	4.69035685986	5.19650581979	2.59926720008	7.51799733419	
2013.0	5.0	22.0	0	68.9629193088	3.93523011938	6.90261172237	3.74286852486	0	2.46930384007	6.40453395945	
2013.0	5.0	23.0	0	68.7165930849	3.15803452873	4.29315195088	2.88966647502	0	2.34583864807	5.5038731768	
2013.0	5.0	24.0	0	68.4700891764	2.57016667966	5.34711003667	2.88839546313	0	2.22854671566	4.79871339532	
2013.0	5.0	25.0	0	68.2234944854	2.05613334373	7.74688713017	0	0	2.11711937988	4.17325272361	
2013.0	5.0	26.0	0	67.9768945532	1.64490667498	9.47031089053	0	0	2.01126341089	3.65617008587	
2013.0	5.0	27.0	0	67.7303735258	1.31592533999	10.9002573815	0	0	1.91070024034	3.22662558033	
2013.0	5.0	28.0	0	67.4840141219	1.05274027199	9.08204298562	0	0	1.81516522833	2.86790550031	
2013.0	5.0	29.0	0	67.2378976039	0.848388891626	5.56578340501	2.82204115361	0	1.72440696691	2.57279585854	
2013.0	5.0	30.0	0	66.9921037506	0.678711113301	5.38030838795	2.42754498955	0	1.63818661856	2.31689773186	
2013.0	5.0	31.0	0	66.7467108322	0.542968890641	7.21642719483	0	0	1.55627728764	2.09924617828	
2013.0	6.0	1.0	0	66.5017955883	0.434375112513	9.35171610166	0	0	1.47846342325	1.91283853577	
2013.0	6.0	2.0	0	66.2574332073	0.34750009001	7.73630720933	0	0	1.40454025209	1.75204034210	
2013.0	6.0	3.0	0	66.0136973087	0.278000072008	7.95488851564	0	0	1.33431323949	1.61231331149	
