year	month	day	34.5	190	1500	280	1000				
2003	12	26	1	0	0	0	0				
2003	12	27	0	0	0	0	0				
2003	12	28	4	6	0	4	0				
2003	12	29	0.5	3	1.5	11	3.5				
2003	12	30	0	0	2.5	0	0				
2003	12	31	2.5	1	0	3	8.5				
2004	1	1	0	0	0	0	0				
2004	1	2	0	0	0	0	0				
2004	1	3	0	0	0	0	0				
2004	1	4	0	0	0	0	0				
2004	1	5	0	0	0	0	0				
2004	1	6	0	0	0	0	0				
2004	1	7	0	0	0	0	0				
2004	1	8	0	0	0	0	0				
2004	1	9	0	0	0	0	0				
2004	1	10	0	0	0	0	0				
2004	1	11	0	0	0	0	0				
2004	1	12	0	0	0	0	0				
2004	1	13	0	0	0	0	0				
2004	1	14	0	0	0	0	0				
2004	1	15	0	0	0	0	0				
2004	1	16	0	0	0	0	0				
2004	1	17	0	0	0	0	0				
2004	1	18	0	0	0	0	0				
2004	1	19	1.5	6.5	0	7.5	3				
2004	1	20	1.5	1.5	2	1.5	0				
2004	1	21	0	0	0	0	0				
2004	1	22	0	0	0	0	0				
2004	1	23	0	0	0	0	0				
2004	1	24	0	0	0	0	0				
2004	1	25	0	0	0	0	0				
2004	1	26	0	0	0	0	0				
2004	1	27	15	11	13	13	4.5				
2004	1	28	54	68	16	63	11.5				
2004	1	29	5	5.5	10	9	8.5				
2004	1	30	0	0	0	0	0				
2004	1	31	0	0	0	0	0				
2004	2	1	0	0	0	0	0				
2004	2	2	0	0	0	0	0				
2004	2	3	2	9	2	6	0				
2004	2	4	0	0	0	0	0				
2004	2	5	0	0	0	0	0				
2004	2	6	0	0	0	0	0				
2004	2	7	1.5	0.5	0.5	4	0				
2004	2	8	0	0	3	0	0				
2004	2	9	0	0	0	0	0				
2004	2	10	0	0	0	0	0				
2004	2	11	0	0	0	0	0				
2004	2	12	0	1.5	0	0	0				
2004	2	13	0.5	0	0	0	0				
2004	2	14	0	0	0	0	0				
2004	2	15	1.5	0	0	0	0				
2004	2	16	0	1.5	0	0	8				
2004	2	17	0	0	0	0	0				
2004	2	18	0	0	0	0	0				
2004	2	19	0	0	0	0	0				
2004	2	20	0	0	0	0	0				
2004	2	21	0	0	0	0	0				
2004	2	22	0	0	0	0	0				
2004	2	23	3.5	0	0	8	3.5				
2004	2	24	7.5	21.5	0.5	10	0				
2004	2	25	0	0	0	0	0				
2004	2	26	0	0	0	0	0				
2004	2	27	0	0	0	0	0				
2004	2	28	0	0	0	0	0				
2004	2	29	0	0	0	0	0				
2004	3	1	0	0	0	0	0				
2004	3	2	2	1	0	0	0				
2004	3	3	0	1	0	0	0				
2004	3	4	0	0	0	0	0				
2004	3	5	0	0	0	0	0				
2004	3	6	0	0	0	0	0				
2004	3	7	1.5	5	0	8.5	0				
2004	3	8	1	6	0	8.5	0				
2004	3	9	0	3	3.5	4.5	0				
2004	3	10	0	0	0	0	0				
2004	3	11	0	0	0	0	0				
2004	3	12	2	1.5	0	3	0				
2004	3	13	1.5	3.5	0	8	0				
2004	3	14	14	29	11	27	15				
2004	3	15	15.5	25	2	24.5	1.5				
2004	3	16	6.5	22.5	5	19	3				
2004	3	17	0	7.5	1	0	0				
2004	3	18	0	0	0	0	0				
2004	3	19	0	0	0	0	0				
2004	3	20	20.5	22	9	33	7				
2004	3	21	0	1.5	0.5	0	0				
2004	3	22	0	0	0	0	0				
2004	3	23	0	0	0	0	0				
2004	3	24	0	0	0	0	0				
2004	3	25	0	0	0	0	0				
2004	3	26	0	0	0	0	0				
2004	3	27	0	0	0	0	0				
2004	3	28	0	0	0	0	0				
2004	3	29	0	0	0	0	0				
2004	3	30	0	0	0	0	0				
2004	3	31	5.5	21.5	0	27	0				
2004	4	1	22.5	33	6	48.5	19				
2004	4	2	0.5	0	0	0	0				
2004	4	3	0	0	0	0	0				
2004	4	4	2	5	0	8	0				
2004	4	5	19.5	23.5	7	19.5	25.5				
2004	4	6	2	5.5	0	2.5	0				
2004	4	7	0	0	0	0	0				
